"sm2a","sm2b","sm2c","sm3","sm4_Mes_amis","sm4_Ma_famille","sm4_Personne","sm4_Internet_reseaux_sociaux","sm4_Autre","sm4_Docteur_ou_infirmiere","sm4_Services_specialises","sm4_Professeurs_educatifs","sm4_Groupes_religieux","sm5","sm6","sm7","cv1","cv2a","cv2b","cv3","cv4a","cv4b","cv5","vi1","vi2_Personne_mon_age","vi2_Membre_famille","vi2_Autre","vi2_Quelquun_inconnu","vi2_Petit_ami_petite_amie","vi2_Adulte_non_famille","vi3_Ecole","vi3_Maison","vi3_Transports_publics","vi3_Autre","vi3_Quartier","vi3_Soiree_mariage","vi3_Lieu_public","vi4_Habitude","vi4_Personne_violente","vi4_Resultats_scolaires","vi4_Colere","vi4_Communauté_ethnie","vi4_Autre","vi4_Orientation_sexuelle","vi4_Corps_image","vi4_Je_ne_sais_pas","vi4_Comportement","vi4_Alcool_drogues","vi4_Sans_raison","vi4_Filmer_internet","vi4_Religion","vi5","vi6_Personne_mon_age","vi6_Membre_famille","vi6_Quelquun_inconnu","vi6_Petit_ami_petite_amie","vi6_Autre","vi7_Ecole","vi7_Quartier","vi7_Soiree_mariage","vi7_Internet_reseaux_sociaux","vi7_Maison","vi7_Lieu_public","vi7_Autre","vi7_Transports_publics","vi8_Habitude","vi8_Personne_mechante","vi8_Resultats_scolaires","vi8_Colere","vi8_Corps_image","vi8_Je_ne_sais_pas","vi8_Comportement","vi8_Alcool_drogues","vi8_Communauté_ethnie","vi8_Sans_raison","vi8_Autre","vi8_Orientation_sexuelle","vi8_Religion","tb1","tb2","tb3","tb4","tb5","tb6_Autre_facon","tb6_Volees_sans_permission","tb6_Famille_donnees","tb6_Autre_personne_donnees","tb6_Achete_par_autre","tb6_Achete_moi_meme","tb7","tb8","ao1","ao2a","ao2b","ao3a","ao3b","ao3c","ao3d","ao4","ao5","ao6","ao7","ao8_Autre_facon","ao8_Par_amis","ao8_Achete_moi_meme","ao8_Par_famille","ao8_Achete_par_autre","ao8_Marche_noir","ao8_Vole_sans_permission","ao9","ao10","ao11","cn1","cn2","cn3","cn4","cn5_Avant_ecole","cn5_Weekend","cn5_Soiree","cn5_Pendant_ecole","cn5_Apres_ecole","cn6","cn7","ad1","ad2","ad3_Tabac","ad3_Cannabis","ad3_Cocaine","ad3_LSD","ad3_MDMA_Ecstasy","ad3_Cachetons","ad3_Cashton","ad3_Codeine","ad3_Lean","ad3_Champignons","ad3_Alcool","ad3_Morphine","ad3_Shitskank","ad3_Flacka","ad3_DMT","ad3_Poudre","ad3_Rien","ad3_Autre","ss1","ss2","ss3","ss4","ss5","ss6_Pharmacie","ss6_Dispensaire_CMS_ESPAS_CMP_CCF","ss6_College_Lycee","ss6_Partenaire","ss6_Autre","ss6_Supermarche","ss6_Je_ne_sais_pas","ss6_Bar_Boite","ss7_Partenaire_ne_voulait_pas","ss7_Pas_sur_moi","ss7_Alcool_fume","ss7_Je_ne_sais_pas_utilite","ss7_Autre","ss7_Je_ne_sais_pas_trouver","ss7_Trop_cher","ss8","ss9_Autres_methodes","ss9_Implant","ss9_Je_ne_sais_pas","ss9_Pilule_contraceptive","ss9_Contraception_urgence","ss9_Retrait","ss9_Abstinence_periodique","ss10","ss11","ss12_Choquant","ss12_Je_ne_sais_pas","ss12_Accepte_d_en_faire","ss12_Appris_utiles","ss12_Fun_cool","ss12_Pas_aime","ss12_Reconnu_personnes","ss12_Partage","ss12_Reconnu_moi_meme","pr1a","pr1b","pr1c","pr1d","pr1e","pr1f","pr1g","pr1h","pr2a","pr2b","pr2c","pr2d","pr2e","pr2f","pr2g","pr2h","pond"
1,1,1,2,0,0,1,0,0,0,0,0,0,NA,1,1,6,5,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,0,0,0,0,0,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,NA,NA,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,14
4,1,2,1,1,1,0,0,0,0,0,0,0,4,1,1,3,2,1,3,1,1,6,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,0,0,0,0,0,0,NA,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,NA,NA,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,2,NA,NA,NA,1,1,1,2,NA,14
5,5,3,3,0,0,1,0,0,0,0,0,0,NA,1,1,6,1,1,2,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,0,0,0,0,0,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,NA,NA,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,0,0,0,2,3,2,4,1,3,3,1,3,3,3,3,3,3,NA,NA,14
1,2,3,2,0,0,1,0,0,0,0,0,0,NA,1,1,4,1,1,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,NA,NA,0,0,0,0,0,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,2,4,2,1,0,1,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,14
1,1,1,1,0,1,0,0,0,0,0,0,0,3,1,2,2,1,1,1,NA,NA,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,0,0,0,0,0,0,NA,1,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,NA,NA,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,1,2,3,3,3,3,1,3,3,3,11
1,1,3,3,0,1,0,0,0,0,0,0,0,1,1,1,6,5,1,3,4,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,NA,1,NA,NA,0,0,0,0,0,0,NA,1,3,NA,5,1,1,3,3,1,NA,NA,NA,0,0,0,0,0,0,0,1,NA,NA,1,NA,NA,NA,0,0,0,0,0,NA,NA,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,14
3,4,2,2,1,0,0,0,0,0,0,0,0,3,1,1,3,1,1,1,NA,NA,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,0,0,0,0,0,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,NA,NA,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,1,2,2,2,2,2,2,2,NA,11
1,1,1,2,1,1,0,0,0,0,0,0,0,3,1,1,1,1,1,1,NA,NA,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,0,0,0,0,0,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,NA,NA,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,NA,NA,NA,NA,NA,NA,14
1,1,1,2,1,1,0,0,0,0,0,0,0,4,1,1,3,1,1,1,NA,NA,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,0,0,0,0,0,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,NA,NA,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,0,0,0,1,1,2,1,4,1,1,1,NA,NA,NA,NA,2,NA,NA,NA,14
2,1,1,2,0,0,1,0,0,0,0,0,0,NA,1,1,2,1,1,1,NA,NA,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,0,0,0,0,0,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,NA,NA,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,0,0,0,4,3,3,3,3,3,2,2,NA,NA,3,2,2,2,NA,NA,14
2,1,3,3,1,1,1,0,0,0,0,0,0,2,2,2,6,3,1,1,NA,NA,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,2,4,2,0,1,0,0,0,0,2,1,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,NA,NA,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,0,0,0,1,1,1,3,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,14
3,4,2,3,1,1,0,0,0,0,0,0,0,3,1,1,5,2,1,1,NA,NA,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,0,0,0,0,0,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,1,NA,NA,NA,1,1,2,2,3,14
2,1,1,1,0,0,1,0,0,0,0,0,0,NA,1,1,5,1,1,1,NA,NA,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,0,0,0,0,0,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,NA,NA,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,2,2,2,2,2,NA,NA,NA,14
1,4,4,3,0,0,1,0,0,0,0,0,0,NA,1,1,1,2,1,1,NA,NA,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,0,0,0,0,0,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,NA,NA,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,1,1,NA,NA,NA,1,1,1,NA,NA,14
